var_name,source_var,short_name,group,store,dims,dtype,long_name,units,level_dim,n_levels
mtnswrfcs,mean_top_net_short_wave_radiation_flux_clear_sky,mtnswrfcs,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,"Mean top net short-wave radiation flux, clear sky",W m**-2,,0
mtpr,mean_total_precipitation_rate,mtpr,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean total precipitation rate,kg m**-2 s**-1,,0
mvimd,mean_vertically_integrated_moisture_divergence,mvimd,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean vertically integrated moisture divergence,kg m**-2 s**-1,,0
mwd,mean_wave_direction,mwd,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean wave direction,Degree true,,0
mwp,mean_wave_period,mwp,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean wave period,s,,0
mx2t,maximum_2m_temperature_since_previous_post_processing,mx2t,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Maximum temperature at 2 metres since previous post-processing,K,,0
mxtpr,maximum_total_precipitation_rate_since_previous_post_processing,mxtpr,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Maximum total precipitation rate since previous post-processing,kg m**-2 s**-1,,0
nsss,northward_turbulent_surface_stress,nsss,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Northward turbulent surface stress,N m**-2 s,,0
p140121,significant_wave_height_of_first_swell_partition,p140121,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Significant wave height of first swell partition,m,,0
p140122,mean_wave_direction_of_first_swell_partition,p140122,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean wave direction of first swell partition,degrees,,0
p140123,mean_wave_period_of_first_swell_partition,p140123,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean wave period of first swell partition,s,,0
p140124,significant_wave_height_of_second_swell_partition,p140124,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Significant wave height of second swell partition,m,,0
p140125,mean_wave_direction_of_second_swell_partition,p140125,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean wave direction of second swell partition,degrees,,0
p140126,mean_wave_period_of_second_swell_partition,p140126,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean wave period of second swell partition,s,,0
p140127,significant_wave_height_of_third_swell_partition,p140127,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Significant wave height of third swell partition,m,,0
p140128,mean_wave_direction_of_third_swell_partition,p140128,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean wave direction of third swell partition,degrees,,0
p140129,mean_wave_period_of_third_swell_partition,p140129,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean wave period of third swell partition,s,,0
p140208,free_convective_velocity_over_the_oceans,p140208,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Free convective velocity over the oceans,m s**-1,,0
p140209,air_density_over_the_oceans,p140209,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Air density over the oceans,kg m**-3,,0
p1ps,mean_wave_period_based_on_first_moment_for_swell,p1ps,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean wave period based on first moment for swell,s,,0
p1ww,mean_wave_period_based_on_first_moment_for_wind_waves,p1ww,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean wave period based on first moment for wind waves,s,,0
p2ps,mean_wave_period_based_on_second_moment_for_swell,p2ps,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean wave period based on second moment for swell,s,,0
p2ww,mean_wave_period_based_on_second_moment_for_wind_waves,p2ww,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Mean wave period based on second moment for wind waves,s,,0
p53.162,vertical_integral_of_mass_of_atmosphere,p53.162,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Vertical integral of mass of atmosphere,kg m**-2,,0
p54.162,vertical_integral_of_temperature,p54.162,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Vertical integral of temperature,K kg m**-2,,0
p59.162,vertical_integral_of_kinetic_energy,p59.162,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Vertical integral of kinetic energy,J m**-2,,0
p60.162,vertical_integral_of_thermal_energy,p60.162,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Vertical integral of thermal energy,J m**-2,,0
p61.162,vertical_integral_of_potential_and_internal_energy,p61.162,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Vertical integral of potential+internal energy,J m**-2,,0
p62.162,vertical_integral_of_potential_internal_and_latent_energy,p62.162,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Vertical integral of potential+internal+latent energy,J m**-2,,0
p63.162,vertical_integral_of_total_energy,p63.162,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Vertical integral of total energy,J m**-2,,0
p64.162,vertical_integral_of_energy_conversion,p64.162,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Vertical integral of energy conversion,W m**-2,,0
p65.162,vertical_integral_of_eastward_mass_flux,p65.162,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Vertical integral of eastward mass flux,kg m**-1 s**-1,,0
p66.162,vertical_integral_of_northward_mass_flux,p66.162,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Vertical integral of northward mass flux,kg m**-1 s**-1,,0
p67.162,vertical_integral_of_eastward_kinetic_energy_flux,p67.162,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Vertical integral of eastward kinetic energy flux,W m**-1,,0
