gfs.t00z.pgrb2.0p25.f000
shortName    name         level        typeOfLevel  
w            Vertical velocity  500          isobaricInhPa 
wz           Geometric vertical velocity  500          isobaricInhPa 
u            U component of wind  500          isobaricInhPa 
v            V component of wind  500          isobaricInhPa 
absv         Absolute vorticity  500          isobaricInhPa 
clwmr        Cloud mixing ratio  500          isobaricInhPa 
icmr         Ice water mixing ratio  500          isobaricInhPa 
rwmr         Rain mixing ratio  500          isobaricInhPa 
snmr         Snow mixing ratio  500          isobaricInhPa 
grle         Graupel (snow pellets)  500          isobaricInhPa 
o3mr         Ozone mixing ratio  500          isobaricInhPa 
gh           Geopotential height  550          isobaricInhPa 
t            Temperature  550          isobaricInhPa 
r            Relative humidity  550          isobaricInhPa 
tcc          Total Cloud Cover  550          isobaricInhPa 
w            Vertical velocity  550          isobaricInhPa 
wz           Geometric vertical velocity  550          isobaricInhPa 
u            U component of wind  550          isobaricInhPa 
v            V component of wind  550          isobaricInhPa 
absv         Absolute vorticity  550          isobaricInhPa 
clwmr        Cloud mixing ratio  550          isobaricInhPa 
icmr         Ice water mixing ratio  550          isobaricInhPa 
rwmr         Rain mixing ratio  550          isobaricInhPa 
snmr         Snow mixing ratio  550          isobaricInhPa 
grle         Graupel (snow pellets)  550          isobaricInhPa 
gh           Geopotential height  600          isobaricInhPa 
t            Temperature  600          isobaricInhPa 
r            Relative humidity  600          isobaricInhPa 
tcc          Total Cloud Cover  600          isobaricInhPa 
w            Vertical velocity  600          isobaricInhPa 
wz           Geometric vertical velocity  600          isobaricInhPa 
u            U component of wind  600          isobaricInhPa 
v            V component of wind  600          isobaricInhPa 
absv         Absolute vorticity  600          isobaricInhPa 
clwmr        Cloud mixing ratio  600          isobaricInhPa 
icmr         Ice water mixing ratio  600          isobaricInhPa 
rwmr         Rain mixing ratio  600          isobaricInhPa 
snmr         Snow mixing ratio  600          isobaricInhPa 
grle         Graupel (snow pellets)  600          isobaricInhPa 
gh           Geopotential height  650          isobaricInhPa 
t            Temperature  650          isobaricInhPa 
r            Relative humidity  650          isobaricInhPa 
tcc          Total Cloud Cover  650          isobaricInhPa 
w            Vertical velocity  650          isobaricInhPa 
wz           Geometric vertical velocity  650          isobaricInhPa 
u            U component of wind  650          isobaricInhPa 
v            V component of wind  650          isobaricInhPa 
absv         Absolute vorticity  650          isobaricInhPa 
clwmr        Cloud mixing ratio  650          isobaricInhPa 
icmr         Ice water mixing ratio  650          isobaricInhPa 
rwmr         Rain mixing ratio  650          isobaricInhPa 
snmr         Snow mixing ratio  650          isobaricInhPa 
grle         Graupel (snow pellets)  650          isobaricInhPa 
gh           Geopotential height  700          isobaricInhPa 
t            Temperature  700          isobaricInhPa 
r            Relative humidity  700          isobaricInhPa 
tcc          Total Cloud Cover  700          isobaricInhPa 
w            Vertical velocity  700          isobaricInhPa 
wz           Geometric vertical velocity  700          isobaricInhPa 
u            U component of wind  700          isobaricInhPa 
v            V component of wind  700          isobaricInhPa 
absv         Absolute vorticity  700          isobaricInhPa 
clwmr        Cloud mixing ratio  700          isobaricInhPa 
icmr         Ice water mixing ratio  700          isobaricInhPa 
rwmr         Rain mixing ratio  700          isobaricInhPa 
snmr         Snow mixing ratio  700          isobaricInhPa 
grle         Graupel (snow pellets)  700          isobaricInhPa 
o3mr         Ozone mixing ratio  700          isobaricInhPa 
gh           Geopotential height  750          isobaricInhPa 
t            Temperature  750          isobaricInhPa 
r            Relative humidity  750          isobaricInhPa 
tcc          Total Cloud Cover  750          isobaricInhPa 
w            Vertical velocity  750          isobaricInhPa 
wz           Geometric vertical velocity  750          isobaricInhPa 
u            U component of wind  750          isobaricInhPa 
v            V component of wind  750          isobaricInhPa 
absv         Absolute vorticity  750          isobaricInhPa 
clwmr        Cloud mixing ratio  750          isobaricInhPa 
icmr         Ice water mixing ratio  750          isobaricInhPa 
rwmr         Rain mixing ratio  750          isobaricInhPa 
snmr         Snow mixing ratio  750          isobaricInhPa 
grle         Graupel (snow pellets)  750          isobaricInhPa 
